title;authors;abstract;publication_date;journal_name;doi;pdf_url
Nationally consistent mapping of wildland fuel types across Australia using satellite-derived vegetation structural data;['Rakesh C. Joshi', 'Miguel G. Cruz', 'Randall J. Donohue'];Background Knowledge of the distribution of wildland fuels across the landscape is necessary for the appropriate application of models used to support a broad range of fire management activities.Aims To develop an automated and nationally consistent method that generates up-to-date spatial fuel type information across Australia.Methods Data from various space-borne broad-band optical, LiDAR and radar sensors were combined with land use data to generate structural descriptions of vegetation that were then converted into fuel types.Key results An Australian fuel type spatial layer was generated using the Bushfire Fuel Classification fuel typology. Evaluation against field measurements revealed accuracies of 89 and 71% for native forest and non-forest fuel types, respectively. This product provides a higher level of spatial and structural detail than previously obtained by other national-level fuel classification approaches in Australia.Implications The developed fuel type layer is made available and can be readily used in research applications. The data also have use in supporting jurisdictional-level fuel mapping for a range of fire management applications, such as fire behaviour prediction, fire danger forecasting and risk assessment.;2025/05/01;International Journal of Wildland Fire;10.1071/WF24224;https://www.publish.csiro.au/wf/pdf/WF24224
Non-additive effects on plant mixtures flammability in a tropical mountain ecosystem;['Helena Roland', 'Ilaíne Silveira Matos', 'Bruno H. P. Rosado', 'Imma Oliveras Menor'];Background Consumability, a component of flammability, describes how well plants burn and may be influenced by species traits and climate change. However, knowledge gaps remain regarding how species mixtures interact and whether non-additive effects are mediated by functional traits and diversity.Aims This study examined the consumability of species mixtures in Brazil’s tropical montane grasslands (campos de altitude), focusing on traits and species interactions.Methods Laboratory tests measured remaining biomass (a proxy for consumability) in monospecific and three-species mixtures for seven species. Traits like specific leaf area (SLA), leaf dry matter content (LDMC), fuel moisture at ignition (FMCig) and maximum combustion rate (MCR) were assessed, along with functional diversity, to understand their influence on consumability.Results Consumability in species mixtures differed from predictions based on individual species values, indicating non-additive effects. Leptostelma maximum, Pleroma hospita and Chusquea pinifolia, despite low or medium individual consumability, contributed most to mixture consumability. Higher SLA reduced consumability, whereas higher MCR, LDMC and functional index FRich increased it.Conclusions Our results suggest that low-consumability species like L. maximum may reduce fire severity, offering opportunities for fire management in the campos de altitude.Implications These findings highlight the importance of considering species interactions in mixtures and identifying traits that shape plant community flammability.;2025/05/01;International Journal of Wildland Fire;10.1071/WF24168;https://www.publish.csiro.au/wf/pdf/WF24168
Igniting river health? Testing the effectiveness of low intensity burns to improve riparian vegetation quality in modified ecosystems;['Elisha Duxbury', 'Kirstie Fryirs', 'Michelle R. Leishman'];Background Fire is largely untested for controlling invasive exotic plant species in highly modified riparian systems.Aims This study tested a low intensity burn in combination with herbicide application for reducing cover of three riparian woody weeds and increasing the presence of native plant species.Methods We surveyed native and exotic riparian vegetation and three target woody weeds over 1 year at a river reach that underwent herbicide treatment and a low intensity burn. Fire temperatures were recorded at the soil surface and 10-cm depth.Key results Maximum temperatures in burned areas exceeded 399°C at the soil surface and reached 47.1°C at 10-cm depth. Exotic midstorey species richness and woody riparian weed cover were considerably less 3-months after burning and herbicide treatment compared with herbicide treatment alone, then subsequently increased.Conclusions A combination of herbicide treatment with follow-up low intensity burning may be effective in reducing woody weed cover in the short term. However, fire temperatures recorded during the burn may not be hot enough to trigger fire-promoted native species germination.Implications Using low intensity burns in riparian systems to promote native plant regeneration has promise, however, integrated weed management utilising fire in highly modified riparian systems will require follow-up interventions within a relatively short timeframe.;2025/05/01;International Journal of Wildland Fire;10.1071/WF24140;https://www.publish.csiro.au/wf/pdf/WF24140
Pyrogeographic analysis of drivers of lightning-ignited wildfires in Tasmania;['Amila M. K. Wickramasinghe', 'Lynda D. Prior', 'Grant J. Williamson', 'Matthias M. Boer', 'David M. J. S. Bowman'];Background Recent studies have reported increasing frequency of lightning fires and associated burned area in Tasmania.Aims To identify factors driving the frequency and scale of lightning-induced fires in Tasmania.Method We compiled datasets on lightning activity, lightning fire, vegetation and fuel moisture. Multi-model inference was used to evaluate predictors of lightning fire. We determined the number of days annually with fuel dry enough to be susceptible to lightning fires. We examined temporal trends in lightning, lightning fires and fuel moisture between 2005 and 2022.Key results Drier fuels and higher lightning density increased the probability of lightning fires, with areas of treeless vegetation being more susceptible than forests. Lightning fire-prone areas were concentrated in western and central Tasmania. However, no significant trends were found in lightning days or lightning fire days. There was a drying trend in fuel moisture in western and southern Tasmania, and a increasing wetness trend in northern and eastern regions.Conclusions and implications Lightning fires are most likely in treeless vegetation with dry fuels and those exposed to intense lightning activity. The short record limits detecting temporal trends. High-resolution data on fuel dryness, lightning and ignitions are crucial for understanding lightning fire dynamics.;2025/05/01;International Journal of Wildland Fire;10.1071/WF24202;https://www.publish.csiro.au/wf/pdf/WF24202
Insights on the dynamics of Miombo woody vegetation in Niassa Special Reserve, northern Mozambique;['Matola Salimo', 'Victorino Buramuge', 'Aide Farão', 'Aniceto Chauque', 'Romana Bandeira', 'Jone Fernando', 'Ana I. Ribeiro-Barros', 'Cristina Branquinho', 'Natasha Ribeiro'];Background Fire is a key ecological factor in the Miombo woodlands of southern Africa, but its role in tree dynamics has not been fully explored.Aim Investigate relationships between fire and forest dynamics and predict Miombo diameter distribution for the year 2033.Methods Tree data (growth, recruitment and mortality) were collected (2005, 2009, 2015 and 2019) along a fire frequency (ff) and severity (fs) gradient in 50 permanent plots in Niassa Special Reserve (NSR). A transition matrix was used to forecast forest structure for the year 2033.Main results Fire frequency (ff) and severity (fs) classes (low, medium and high) were associated with different tree species assemblages. High ff and fs had varied effects on tree mortality, recruitment, growth and carbon stocks. Julbernardia globiflora had higher mortality rate in high ff plots compared to other tree species. Projections indicated that, despite the regular distribution of diameter, high ff may reduce tree density in young cohorts.Conclusions A moderate fire regime is a determinant of sustaining the Miombo dynamics in NSR.Implications Fire management action through early dry season controlled burning is needed to prevent the impact of intense late dry season fire.;2025/04/25;International Journal of Wildland Fire;10.1071/WF24060;https://www.publish.csiro.au/wf/pdf/WF24060
The impacts of fire use in the Brazilian Amazon: a bibliometric analysis;['Amanda Kesley Cardozo Cancio', 'Mayerly Alexandra Guerrero-Moreno', 'Everton Cruz da Silva', 'Fernando Abreu Oliveira', 'Karina Dias-Silva', 'James Ferreira Moura Jr', 'Thiago Almeida Vieira', 'Lenize Batista Calvão', 'Leandro Juen', 'José Max Barbosa Oliveira-Junior'];The use of fire, essential in human evolution, has facilitated low-cost land management in the Amazon, albeit with significant environmental losses. Its uncontrolled use, exacerbated by climate change, intensifies environmental and socioeconomic challenges. This study explores the impacts of fire use in the Brazilian Amazon via bibliometric analysis, revealing trends, gaps and key areas of scientific relevance based on 192 articles indexed in Scopus and Web of Science. Brazil has the highest scientific production (58%) and is a leader in scientific collaboration networks in this area. Topics such as ‘deforestation’ and ‘fire’ were central themes. Approximately 67% of studies focused on wildfires. The geographical distribution indicates that most studies (57%) are conducted on a regional scale, encompassing the entire Legal Amazon, and 15% focus on the state of Pará. The most common impacts associated with fire use in the Brazilian Amazon are ecological (35%). This study highlights the importance and complexity of the effects of fire use on the Amazon, underscoring the urgent need for policies that integrate sustainable management practices and fire governance. Promoting interdisciplinary research and collaboration among various societal sectors is essential to developing practical solutions protecting Amazonian biodiversity and communities.;2025/03/27;International Journal of Wildland Fire;10.1071/WF24182;https://www.publish.csiro.au/wf/pdf/WF24182
Comparing modeled soil temperature and moisture dynamics during prescribed fires, slash-pile burns and wildfires;['Peter R. Robichaud', 'William J. Massman', 'Anthony Bova', 'Antonio Girona-García', 'Andoni Alfaro-Leranoz', 'Nancy E. Gibson'];Background Wildfires, prescribed fires and slash-pile burns are disturbances that occur in many terrestrial ecosystems. Such fires produce variable surface heat fluxes causing a spectrum of effects on soil, such as seed mortality, nutrient loss, changes in microbial activity and water repellency. Accurately modeling soil heating is vital to predicting these second-order fire effects. The process-based Massman HMV (Heat–Moisture–Vapor) model incorporates soil water evaporation, heat transport and water vapor movement, and captures the observed rapid evaporation of soil moisture.Aims Improve the Massman HMV model and compare it with Campbell soil heating model using four independent soil temperature datasets collected during burning.Methods The models were evaluated using similar BFD curves against observed temperature and soil moisture using standard statistical methods.Key results Results suggest reasonable agreement between the Massman HMV model and field soil temperature data under various burn scenarios and it was consistently more accurate than the Campbell model.Conclusions The Massman HMV model improved soil heating predictions and provided soil moisture predictions.Implications The Massman HMV model was incorporated in the First Order Fire Effects Model (FOFEM ver. 6.7) with a user-friendly interface that allows managers to assess the heating impacts of fire on soil temperature and moisture.;2025/03/27;International Journal of Wildland Fire;10.1071/WF22082;https://www.publish.csiro.au/wf/pdf/WF22082
Numerical investigation of the effect of wind, slope and fuel moisture on the radiative and convective heating of excelsior fuels;['M. S. Sadeghi', 'Maryam Ghodrat', 'Duncan Sutherland', 'Albert Simeoni', 'Jason Sharples', 'Harald Kleine'];Background Wind, slope angle and moisture content are the three major parameters that affect fire rate of spread and heat transfer in propagating bushfires.Aims This study investigates the effect of the slope angle (0°–40°), wind speed (0–3ms−1) and fuel moisture content (FMC, 4–12%) on convective heat transfer (cooling and heating) and radiative heat transfer of burning excelsior fuel particles at different locations downstream of a spreading fire.Methods The simulations were conducted using Fire Dynamics Simulator (FDS). The zone located downstream of the fire front was divided into two regions: the flame-induced region and the natural convection region.Key results For uplifted flames, there is convective cooling of particles downstream of the flame region. However, when the flame attaches to the unburnt fuel, flame depth and fire line intensity both increase, and there is convective heating of the particles ahead of the flames. Radiative heating of the particles also decreases consistently as the distance from the flame increases.Implications The results of this analysis reveal the mechanism of local convective and radiative heat transfer to downstream vegetation. Although heat transfer mechanisms are identified from this numerical analysis, these need to be verified through experimental work.;2025/03/24;International Journal of Wildland Fire;10.1071/WF24115;https://www.publish.csiro.au/wf/pdf/WF24115
Burning poop: chemical composition and carbon dynamics of large herbivore dung burned in African savanna fires;['C. Sánchez-García', 'C. Santín', 'T. Strydom', 'X. L. Otero', 'S. H. Doerr'];Background Fire and herbivores are essential to savanna ecosystems, consuming vegetation and recycling nutrients. Fire volatilises some elements and makes others readily available through ash, while herbivores redistribute nutrients via dung (excrement, faeces).Aims We investigate, for the first time, fire’s role in consuming dung and affecting nutrient cycling.Methods We examined the chemical characteristics of wild large herbivore dung (buffalo, elephant, giraffe, wildebeest, zebra) burned during African savanna fires (Kruger National Park, South Africa) and estimated carbon and nutrients losses from dung burning.Key results Smouldering combustion of dung led to high carbon loss to the atmosphere (C: 41% and 4.1% in unburned and burned dung) and high enrichment of nutrients (e.g. Ca, P) and metals (e.g. Cu, Fe, Zn) in the burned residue. Flaming combustion of grass resulted in lower carbon loss (C: 43% and 23% in vegetation and ash), leaving more carbon in the ash and lower relative enrichment of other nutrients and metals.Conclusions Burned dung forms nutrient hotspots with physicochemical characteristics distinct from vegetation ash.Implications Taking dung from wild or domestic herbivores into account in fuel inventories can improve estimations of fire-related carbon emissions and provide better understanding of fire impacts on nutrients cycling.;2025/03/18;International Journal of Wildland Fire;10.1071/WF24162;https://www.publish.csiro.au/wf/pdf/WF24162
Reburning pyrogenic organic matter: a laboratory method for dosing dynamic heat fluxes from above;['Mengmeng Luo', 'Kara Yedinak', 'Keith Bourne', 'Thea Whitman'];Background Pyrogenic organic matter (PyOM) represents a relatively persistent component of soil carbon stocks. Although subsequent fires have the potential to combust or alter preexisting PyOM stocks, simulating soil heating faces important methodological constraints. In particular, methods for estimating the effects of subsequent fire on preexisting PyOM in soil have important limitations.Aims We aimed to design a laboratory method to effectively simulate soil heating from above, to investigate the impacts of subsequent fires on PyOM at different soil depths while addressing key limitations of previous methods.Methods Jack pine (Pinus banksiana Lamb.) log burns were used to parameterise realistic heat flux profiles. Using a cone calorimeter, these profiles were applied to buried jack pine PyOM to simulate variable reburn fire intensities.Key results In general, higher heat fluxes and shallower depths led to more mass loss of PyOM.Conclusions We offer a method to simulate specific soil heating profiles. Conditions that result in higher temperatures (higher heat fluxes and shallower depths) are likely to lead to more loss of PyOM in subsequent fires.Implications The method could simulate different fire scenarios to represent spatial variability within a given fire event, or to study the effects of fire on different types of biomass, or organisms such as microbes.;2025/03/18;International Journal of Wildland Fire;10.1071/WF24128;https://www.publish.csiro.au/wf/pdf/WF24128
